window,depth,power,profit,dd
80,3,2,13.740250267399958,-8.562292706887504
80,3,3,13.649786654088203,-8.729321807842538
80,3,4,13.409726447539796,-8.899904455518254
80,3,5,13.205554600687037,-9.075567599622744
80,3,6,13.068739251891117,-9.194782282892987
80,4,2,8.481055009979883,-4.0218791985005
80,4,3,8.543850829843677,-4.0735220193564174
80,4,4,8.605166945792718,-4.09450889235319
80,4,5,8.660765848124413,-4.0984254602210655
80,4,6,8.706348189969404,-4.098157153735073
80,5,2,11.381775652249402,-5.51605557941933
80,5,3,11.407643266885174,-5.487342667725841
80,5,4,11.419390972454593,-5.470978422600965
80,5,5,11.430433871682837,-5.460032288062294
80,5,6,11.440763480354562,-5.452391121940465
80,6,2,8.378647539914795,-10.96379305730595
80,6,3,8.418457971158816,-10.962868036269683
80,6,4,8.421363342982218,-10.962291940556256
80,6,5,8.419651599272754,-10.961972588744146
80,6,6,8.418232671211598,-10.96180470906441
90,3,2,42.348947805565416,-3.099210102862969
90,3,3,42.94319078857279,-3.1667271701381026
90,3,4,42.97860432126262,-3.206003930845725
90,3,5,42.953928930066894,-3.2275634621185816
90,3,6,42.935010173361974,-3.2389038682020157
90,4,2,46.066237704526316,-2.7100655110937737
90,4,3,47.45821583348811,-2.6146060222564813
90,4,4,48.031295942653685,-2.576884351498734
90,4,5,48.26957197282081,-2.5640801695413415
90,4,6,48.37299373829137,-2.5601030180203566
90,5,2,28.577063403011664,-3.2775386271187017
90,5,3,28.726077028994467,-3.3719913749315396
90,5,4,28.789330042143177,-3.4081186692943675
90,5,5,28.813587111915297,-3.421694000052014
90,5,6,28.822582085588408,-3.4267425181767805
90,6,2,34.20488313715538,-4.479786818475276
90,6,3,34.37247258551221,-4.482661229200886
90,6,4,34.41989690366,-4.4700089552796385
90,6,5,34.44088442651727,-4.461524996815086
90,6,6,34.45134901964869,-4.456908451130758
100,3,2,34.9574191828834,-3.0704605865232963
100,3,3,34.48674294083901,-3.1031769090602808
100,3,4,33.766680084643724,-3.098799604782741
100,3,5,33.11835103054767,-3.086541941429587
100,3,6,32.57299371050087,-3.0741134348234453
100,4,2,31.26275733336118,-3.325527566960048
100,4,3,31.552061851573654,-3.3303484178898657
100,4,4,31.750617651938597,-3.3345903708075895
100,4,5,31.90436345856824,-3.338254799499026
100,4,6,32.01090227834115,-3.340887000354712
100,5,2,36.81282906623048,-3.4396562932513035
100,5,3,37.2520176697991,-3.4510907448105996
100,5,4,37.35444196766767,-3.4538858669316
100,5,5,37.373215398817166,-3.4544763131872145
100,5,6,37.37290205795412,-3.454530149971717
100,6,2,41.3939354801858,-3.549909849449847
100,6,3,41.75312052918429,-3.5589277365245806
100,6,4,41.80532976109993,-3.560238528716525
100,6,5,41.81225119164131,-3.5604123017596123
100,6,6,41.81301074946748,-3.560431371614385
110,3,2,35.410975978488665,-2.791088987965651
110,3,3,35.901183801499315,-2.8654698120354567
110,3,4,36.03770191385016,-2.926771200762346
110,3,5,36.19705007722936,-2.9780181217270467
110,3,6,36.38697466066685,-3.0200398714725907
110,4,2,33.57347595836839,-3.4345641633435946
110,4,3,34.61046586201729,-3.5416620193602313
110,4,4,34.960891653557496,-3.5964912521368433
110,4,5,35.10511546269865,-3.6238528129217684
110,4,6,35.17073826810747,-3.637454797551044
110,5,2,34.012088832526274,-2.869263447152136
110,5,3,35.226651044923216,-2.8945081547124687
110,5,4,35.59399432891655,-2.902260129853346
110,5,5,35.71094767931251,-2.90474749534836
110,5,6,35.75068257163534,-2.9055957038244173
110,6,2,34.311790050430005,-2.9035945811865957
110,6,3,34.91281508116671,-2.9165877296045295
110,6,4,35.184702868189476,-2.922465485420247
110,6,5,35.379336075563145,-2.9266731274004485
110,6,6,35.52976934394471,-2.929925241177912
120,3,2,35.21685994883924,-2.8027613209571314
120,3,3,35.68822828947077,-2.861086467647283
120,3,4,35.807002710145895,-2.9122736496812536
120,3,5,35.95459002787479,-2.9571942486426934
120,3,6,36.142700090770546,-2.9958588940773154
120,4,2,30.784781401098627,-2.9853801526453765
120,4,3,31.77365128384642,-3.0286629882068326
120,4,4,32.3230896171919,-3.0460078660362484
120,4,5,32.66621418879538,-3.0549579787456196
120,4,6,32.88620652102534,-3.0602619443271806
120,5,2,34.10174246141551,-3.2463343531718465
120,5,3,34.22484830832235,-3.3007856048146067
120,5,4,34.25901156271851,-3.3297221358201057
120,5,5,34.31795691046037,-3.3458910083019617
120,5,6,34.393272896425515,-3.355296854060569
120,6,2,31.977630937890467,-3.476013967417458
120,6,3,32.404821636390295,-3.487265274356261
120,6,4,32.6150507526807,-3.4928022683103848
120,6,5,32.72669808691953,-3.4957428249068414
120,6,6,32.784885990336136,-3.4972753722299927
